"";"string";"cluster";"distanceToCenter"
"402";"Megabyte";76;0
"403";"Ausübung";25;7
"404";"Ausbeutung";25;9
"405";"Wahlbetrug";25;9
"406";"Percussion";25;9
"407";"Hertha BSC";25;9
"408";"Amburgey";25;7
"409";"Esche";25;4
"410";"Pink";25;3
"411";"Februar 2007";86;8
"412";"nahm an";25;6
"413";"Restlösung";25;9
"414";"Gartenstadt";24;9
"415";"Grün-Weißen";25;10
"416";"Pahang";25;5
"417";"Hof hielten";42;9
"418";"Laurens";89;0
"419";"Trockenmauern";25;12
"420";"unterschiedlichem";37;0
"421";"anspruchsvolle";25;13
"422";"jeher";25;4
"423";"Stelen";25;5
"424";"arbeiteten";25;9
"425";"Doppel";25;5
"426";"Pf.";25;2
"427";"nassauischen";100;10
"428";"gekrümmte";25;8
"429";"hängenden";84;0
"430";"abgelenkt";25;8
"431";"serbisch-orthodoxe Kirche";48;0
"432";"Baeck";25;4
"433";"Ahalolfinger";25;11
"434";"1 cm";25;3
"435";"P.E.N.";25;5
"436";"Wetter";38;0
"437";"favorisierten";24;11
"438";"Plato";25;4
"439";"Georg Dahm";25;9
"440";"Gräsern";25;6
"441";"entsprechende";13;11
"442";"Chickasaw";25;8
"443";"Gerd";25;3
"444";"lockerte";25;7
"445";"Verkehrswegs";25;11
"446";"Die Chroniken von Narnia";25;23
"447";"Landwirtschafts-Verband";25;22
"448";"227-kg-";25;6
"449";"Kooperation";25;10
"450";"Ecoforestry";25;10
"451";"trennte";25;6
"452";"weiterzugeben";16;0
"453";"Würmer";25;5
"454";"Abstammung";25;9
"455";"voller";25;5
"456";"Mittelalter";38;9
"457";"verbieten";32;0
"458";"Franz-Josefs-Bahnhof";25;19
"459";"Schlosses";45;0
"460";"Koreanische";25;10
"461";"gleich";25;5
"462";"vorab";25;4
"463";"erstere";25;6
"464";"Grahame";25;6
"465";"potamou";25;6
"466";"schiefwinklige";42;12
"467";"Lavenstedt";25;9
"468";"Gegenspieler";25;11
"469";"Gesangbücher";72;0
"470";"Nordosten";25;8
"471";"Schiffer";25;7
"472";"317";25;2
"473";"Nordamerikanischen";25;17
"474";"ihren Tribut";93;0
"475";"lebten";25;5
"476";"Tresin";25;5
"477";"sauber";25;5
"478";"lateinisches";25;11
"479";"Gewehrsalve";25;10
"480";"Sturgeon";25;7
"481";"Austragung";25;9
"482";"25./26.";25;6
"483";"Wahlspruch";25;9
"484";"Bauchunterseite";25;14
"485";"Beautiful";25;8
"486";"großdeutschen";25;12
"487";"Grob";25;3
"488";"Jean-François";25;12
"489";"Torhüter";9;0
"490";"VEAG";25;3
"491";"Uli";25;2
"492";"Hat";25;2
"493";"stiehlt";25;6
"494";"5. Juni";25;6
"495";"Gentechnik";25;9
"496";"kurzzeitiger";25;11
"497";"schriftliche";99;9
"498";"Vase";50;0
"499";"beseelten";25;8
"500";"Klattau";25;6
"501";"Violinschule";25;11
"502";"Ransatsu";25;7
"503";"Seilzug";71;0
"504";"in der Luft zerreißen";25;20
"505";"abfragen";25;7
"506";"Verkleidungen";25;12
"507";"worin";95;0
"508";"Fremdmaterialien";25;15
"509";"sehenden";13;0
"510";"Bento";56;0
"511";"bekämpften";25;9
"512";"effektives";15;8
"513";"Bestimmungswort";25;14
"514";"erhält";25;5
"515";"Paneuropäischer Verkehrskorridor X";25;33
"516";"einsetzbar";25;9
"517";"Orden";25;4
"518";"um die Ecke";25;10
"519";"oxidativer";25;9
"520";"einführt";25;7
"521";"Anionen";25;6
"522";"Kurzem";25;5
"523";"City";25;3
"524";"Gonzalo";25;6
"525";"Abschlussklasse";100;13
"526";"Käferarten";24;8
"527";"Sprengkörper";25;11
"528";"Landais";25;6
"529";"Ortsnamens";25;9
"530";"Rapper";25;5
"531";"Aufnahmen";25;8
"532";"wölben";4;4
"533";"Vorortgleisen";25;12
"534";"Fußform";25;6
"535";"Radicula";25;7
"536";"Ersten Weltkrieg";25;15
"537";"Minden";25;5
"538";"ausgeschildert";25;13
"539";"Meta-Einheit";25;11
"540";"Führungsgehilfe";25;14
"541";"vermieden";25;8
"542";"CINEMA";25;5
"543";"Architecture";25;11
"544";"Höfe";25;3
"545";"Aostatal";25;7
"546";"Benigna Schönhagen";25;17
"547";"Im Lauf der Zeit";25;15
"548";"Trumpffarbe";25;10
"549";"Barclays";25;7
"550";"Hyundai-Entwicklung";25;18
"551";"hintereinander liegenden";84;21
"552";"Rendsburg";25;8
"553";"Signatur";25;7
"554";"Neutralisationsanlage";25;20
"555";"11./12.";25;6
"556";"50.";25;2
"557";"Zwei-Personen-";25;13
"558";"alles";36;3
"559";"Turniersieg";42;9
"560";"Parteiführer";25;11
"561";"übereinstimmend";64;0
"562";"Dieffenbach";40;0
"563";"Solo-Künstler";23;0
"564";"Enthaltungen";25;11
"565";"Subventionen";25;11
"566";"vorangetrieben";4;12
"567";"Bewertung";25;8
"568";"Bakker";25;5
"569";"Fronteinsatz";25;11
"570";"Stimmberechtigt";25;14
"571";"Fensterlaibungen";25;15
"572";"Hanke-Rauschenbach";25;17
"573";"Angoulême";25;8
"574";"Präsidentschaftskandidat";25;23
"575";"Play-downs";25;9
"576";"Die Frau";25;7
"577";"Gärten";24;0
"578";"dei";25;2
"579";"vertreibt";25;8
"580";"Eckart";25;5
"581";"Marienburg";25;9
"582";"1643–1702";25;8
"583";"Truppenübungsplatzes";19;0
"584";"erzieherischen";25;13
"585";"Czaplicka";25;8
"586";"0,6";25;2
"587";"Bolzen";25;5
"588";"Bowie";25;4
"589";"Dresdner Heide";25;13
"590";"Patriots";25;7
"591";"Saalbach";25;7
"592";"Kata-uta";25;7
"593";"DFF-Länderkette";38;13
"594";"Gallia";36;4
"595";"Verkehrsinfrastruktur";25;20
"596";"Therapie";25;7
"597";"Kreis Düren";25;10
"598";"vorgelegt";52;0
"599";"Sonderform";25;9
"600";"im Gegensatz zu";25;14
"601";"Dagny";25;4
"602";"Kette";38;3
"603";"Wechselkurs";25;10
"604";"Straßenbahnbetrieb";25;17
"605";"Sozialversicherungspflichtig";74;25
"606";"kurzperiodischen";25;15
"607";"Geldschrank-Werkstatt";25;20
"608";"Trainerkarriere";42;13
"609";"Reaktivitätsanstieg";25;18
"610";"Prinzipalstücke";25;14
"611";"Temperaturen";25;11
"612";"Ames Research Center";25;19
"613";"einsamen";25;7
"614";"Heinicke";73;0
"615";"im Gebäude";25;9
"616";"See";25;2
"617";"deutschstämmigen";44;14
"618";"Konsolen";25;7
"619";"Neben";4;3
"620";"Maché";25;4
"621";"liberaler";25;8
"622";"Brüder";25;5
"623";"illustriere";42;9
"624";"geschmacklich";25;12
"625";"Rechtsreferendariat";25;18
"626";"gesteuerten";24;9
"627";"Weißwedelhirsch";25;14
"628";"North American Aviation";25;22
"629";"Fortschrittliche";97;0
"630";"Matt";25;3
"631";"Glanville";25;8
"632";"in der Nähe von";25;14
"633";"trägt";25;4
"634";"Küstenflüssen";82;0
"635";"Eumir";25;4
"636";"Hope";25;3
"637";"soll";25;3
"638";"Interessen";25;9
"639";"Fertigstellungstermin";25;20
"640";"Q01";25;2
"641";"Psychiatrie";25;10
"642";"Hexer";25;4
"643";"Ölspur";25;5
"644";"maximalem";25;8
"645";"23-mm-";25;5
"646";"ausgetragenen";25;12
"647";"verließ";25;6
"648";"sämtlich";25;7
"649";"2,75";7;0
"650";"Verfahrens";25;9
"651";"Festlandbereich";25;14
"652";"verliebt in";25;10
"653";"Kamares";22;0
"654";"neu erworbenen";11;0
"655";"Fälligkeit";26;0
"656";"notariales";25;9
"657";"herum";25;4
"658";"Sixx";25;3
"659";"flexible";25;7
"660";"empört";25;5
"661";"Tagungsdisziplin";25;15
"662";"aussprechen";25;10
"663";"Amir Kabir";25;9
"664";"Wahlergebnissen";25;14
"665";"Greetings";25;8
"666";"Amato";25;4
"667";"Mittelzentrum";25;12
"668";"Felsige";25;6
"669";"glockenförmige";25;13
"670";"Steinquadern";25;11
"671";"montieren";42;7
"672";"John F. Kennedy";25;14
"673";"Bevölkerungsdichte";74;15
"674";"Schlossgarten";45;8
"675";"Leslie";25;5
"676";"Rumpfanstrich";25;12
"677";"Antonelli";25;8
"678";"nebeneinander her";4;15
"679";"inwiefern";25;8
"680";"Mustafà";25;6
"681";"1787–91";25;6
"682";"Badeunfällen";25;11
"683";"Thun und Hohenstein";25;18
"684";"Capitolini";25;9
"685";"Theatre";25;6
"686";"Calcio";25;5
"687";"Konfessionen";25;11
"688";"Federspitzen";25;11
"689";"angebunden";25;9
"690";"PNL";25;2
"691";"Holzbildhauer";25;12
"692";"Lily";25;3
"693";"Schiffen";25;7
"694";"empfängt";25;7
"695";"angewendet";25;9
"696";"Pavillon";25;7
"697";"Edwin";25;4
"698";"Seuche";92;0
"699";"Neil Patrick Harris";25;18
"700";"gefilmt";25;6
"701";"2,65";25;3
"702";"Jury";25;3
"703";"Zapp";25;3
"704";"emporschoss";25;10
"705";"Traurigkeit";26;9
"706";"Festivals";25;8
"707";"Hofnarren";25;8
"708";"Burschenband";25;11
"709";"ansehe";25;5
"710";"Typs";6;0
"711";"Fukushima";25;8
"712";"Wien";25;3
"713";"besteht aus";25;10
"714";"Pilotfolge";25;9
"715";"Zingst";25;5
"716";"CD-Release";50;8
"717";"Vila Nova";25;8
"718";"Schalldeckel";36;10
"719";"kolam";25;4
"720";"durchgeführt werden";53;0
"721";"Dee";25;2
"722";"Grundorientierung";42;15
"723";"Filmhandlung";25;11
"724";"Pommes frites";25;12
"725";"Werks";25;4
"726";"Klostergüter";25;11
"727";"interessiert";42;10
"728";"Durchsetzung";25;11
"729";"Suworow";25;6
"730";"Lindsay";25;6
"731";"GHz";25;2
"732";"nicht vorhanden";74;12
"733";"Panochthidae";25;11
"734";"Reynolds’schen";69;0
"735";"Dorfzentrum";25;10
"736";"Bedburg";25;6
"737";"fortgeschrittenen";17;0
"738";"FC Carl Zeiss";2;0
"739";"Baus";25;3
"740";"erwähnten";61;0
"741";"Anfangszeit";25;10
"742";"verdient";25;7
"743";"Olympiapark";25;10
"744";"Ausgrabung";25;9
"745";"Indischen";25;8
"746";"Fahrtrichtung";29;0
"747";"und auch nicht";74;11
"748";"Poet";25;3
"749";"Mekap-Turnschuh";25;14
"750";"DSM";25;0
"751";"dass";100;0
"752";"Dance";25;4
"753";"Ostküste";25;7
"754";"Tasso";100;3
"755";"engen";25;4
"756";"Sauerlacher";25;10
"757";"Hauptkriegsverbrecher";25;20
"758";"tagten";25;5
"759";"Nicht";74;2
"760";"Leo Baeck";25;8
"761";"Disposition";25;10
"762";"Technische";25;9
"763";"Dienstweg";25;8
"764";"Jüdische Gemeinde";18;0
"765";"beliefen";25;7
"766";"oben";4;0
"767";"Bounts";25;5
"768";"4352";25;3
"769";"großen";25;5
"770";"Denkprozesse";25;11
"771";"Annaeus";25;6
"772";"1329";25;3
"773";"Halbgedicht";74;8
"774";"Einheit";25;6
"775";"Olmütz";25;5
"776";"Koszyk";25;5
"777";"Peter Herrmann";25;13
"778";"zweischaligen";44;11
"779";"Entrepreneurship";25;15
"780";"Pfandherrschaft";70;0
"781";"Landebahn";25;8
"782";"stärksten";25;8
"783";"Wohnort";25;6
"784";"rivalisierenden";13;13
"785";"abgebildet";25;9
"786";"L’";25;1
"787";"Treaties";25;7
"788";"Waibel";25;5
"789";"Wide";25;3
"790";"Ex-Clubs";25;7
"791";"Kreuzgewölbe";25;11
"792";"Deutsche Postbank";25;16
"793";"entschlossen";45;7
"794";"Hörigkeitsverband";26;15
"795";"Vorzugsbehandlung";25;16
"796";"Drehachse";25;8
"797";"eingetragener";77;11
"798";"Unterthänigkeits-";26;15
"799";"erlebt";25;5
"800";"Bolton";25;5
"801";"totales";25;6
"802";"actaeon";25;6
"803";"Tocci";25;4
"804";"Landespolizeidirektionen";25;23
"805";"Arnsberg";25;7
"806";"Obmann";25;5
"807";"Sciences";91;0
"808";"Schriftzeichen";99;11
"809";"grelle Farben";4;11
"810";"Nerik";25;4
"811";"Wasserwaage";100;9
"812";"englischsprachige";25;16
"813";"Qualität";25;7
"814";"Rückenteil";46;0
"815";"Tetrarchie";42;8
"816";"Dundee";25;5
"817";"BImA";25;3
"818";"Engineering";25;10
"819";"Llaneros";25;7
"820";"Aldehyd";25;6
"821";"157";25;2
"822";"Kurzgeschichten";54;0
"823";"Congo";25;4
"824";"Termingeldhandel";25;15
"825";"verfänglichen";25;12
"826";"manche";25;5
"827";"aufgetreten";25;10
"828";"Rektor";25;5
"829";"Hydrochemiker";25;12
"830";"Kontaminationslevel";25;18
"831";"toren";25;4
"832";"Schaden";25;6
"833";"Kubiz";67;0
"834";"Verfallenheit";36;11
"835";"Patriarchen";25;10
"836";"Amerikaner";25;9
"837";"Coyron";25;5
"838";"AB";25;1
"839";"Wattenscheid";25;11
"840";"Durchfluss";25;9
"841";"teil.";25;4
"842";"Seitz";25;4
"843";"Produktions-Assistent";25;20
"844";"Distributionen";25;13
"845";"Sicht";74;0
"846";"Bandō";25;4
"847";"Oklahoma";25;7
"848";"Königshof";57;7
"849";"Senioren";25;7
"850";"Vadhana";25;6
"851";"Jazz";25;3
"852";"unweit";25;5
